App ID,App Name,Country,Date,topgrossing,Updated
com.netmarble.mherosgb,MARVEL Future Fight,US,1/1/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,1/2/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,1/3/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,1/4/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,1/5/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,1/6/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,1/7/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,1/8/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,1/9/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,1/10/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,1/11/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,1/12/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,1/13/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,1/14/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,1/15/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,1/16/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,1/17/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,1/18/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,1/19/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,1/20/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,1/21/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,1/22/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,1/23/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,1/24/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,1/25/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,1/26/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,1/27/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,1/28/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,1/29/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,1/30/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,1/31/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,2/1/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,2/2/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,2/3/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,2/4/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,2/5/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,2/6/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,2/7/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,2/8/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,2/9/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,2/10/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,2/11/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,2/12/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,2/13/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,2/14/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,2/15/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,2/16/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,2/17/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,2/18/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,2/19/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,2/20/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,2/21/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,2/22/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,2/23/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,2/24/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,2/25/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,2/26/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,2/27/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,2/28/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,3/1/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,3/2/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,3/3/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,3/4/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,3/5/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,3/6/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,3/7/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,3/8/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,3/9/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,3/10/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,3/11/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,3/12/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,3/13/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,3/14/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,3/15/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,3/16/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,3/17/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,3/18/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,3/19/2014,,
com.netmarble.mherosgb,MARVEL Future Fight,US,3/20/2014,,
